Date,Open,High,Low,Close,Volume
12/31/2015,"8.44","8.49","8.37","8.40","4,020,700"
12/30/2015,"8.44","8.49","8.43","8.45","7,476,400"
12/29/2015,"8.40","8.45","8.39","8.44","9,227,000"
12/28/2015,"8.31","8.41","8.28","8.39","6,616,100"
12/23/2015,"8.28","8.32","8.24","8.30","5,237,800"
12/22/2015,"8.22","8.27","8.21","8.25","5,413,800"
12/21/2015,"8.29","8.33","8.20","8.21","7,370,300"
12/18/2015,"8.37","8.40","8.28","8.28","7,861,300"
12/17/2015,"8.30","8.41","8.30","8.41","7,100,400"
12/16/2015,"8.22","8.32","8.22","8.31","10,250,100"
12/15/2015,"8.25","8.29","8.18","8.18","10,685,800"
12/14/2015,"8.30","8.31","8.25","8.25","7,952,700"
12/11/2015,"8.36","8.40","8.33","8.33","6,593,100"
12/10/2015,"8.38","8.42","8.33","8.41","9,758,400"
12/09/2015,"8.40","8.42","8.39","8.40","4,214,900"
12/08/2015,"8.41","8.45","8.37","8.41","4,331,900"
12/07/2015,"8.41","8.44","8.35","8.41","4,497,200"
12/04/2015,"8.37","8.40","8.36","8.37","5,286,600"
12/03/2015,"8.38","8.42","8.33","8.36","10,151,100"
12/02/2015,"8.45","8.51","8.39","8.41","4,506,000"
12/01/2015,"8.35","8.45","8.32","8.45","13,663,000"
11/30/2015,"8.36","8.45","8.32","8.32","21,507,100"
11/27/2015,"8.46","8.48","8.40","8.44","4,853,700"
11/26/2015,"8.36","8.48","8.36","8.48","8,745,600"
11/25/2015,"8.33","8.41","8.33","8.41","10,302,700"
11/24/2015,"8.40","8.42","8.34","8.34","5,410,400"
11/23/2015,"8.33","8.42","8.30","8.40","6,674,100"
11/20/2015,"8.24","8.32","8.23","8.32","3,608,400"
11/19/2015,"8.25","8.25","8.18","8.24","5,436,700"
11/18/2015,"8.25","8.28","8.18","8.18","7,322,900"
11/17/2015,"8.33","8.42","8.24","8.24","11,876,400"
11/16/2015,"8.26","8.32","8.26","8.30","9,557,500"
11/13/2015,"8.38","8.38","8.26","8.30","6,761,900"
11/12/2015,"8.22","8.37","8.22","8.36","6,701,800"
11/11/2015,"8.33","8.36","8.22","8.22","12,933,800"
11/09/2015,"8.35","8.39","8.32","8.39","5,322,000"
11/06/2015,"8.37","8.40","8.33","8.35","5,993,400"
11/05/2015,"8.34","8.38","8.30","8.38","6,506,400"
11/04/2015,"8.32","8.36","8.31","8.35","10,403,200"
11/03/2015,"8.29","8.33","8.26","8.31","11,002,700"
11/02/2015,"8.27","8.34","8.25","8.27","10,404,200"
10/30/2015,"8.33","8.39","8.26","8.26","17,877,801"
10/29/2015,"8.47","8.50","8.30","8.31","17,091,801"
10/28/2015,"8.55","8.56","8.47","8.47","8,785,300"
10/27/2015,"8.55","8.60","8.51","8.55","8,673,600"
10/26/2015,"8.57","8.60","8.49","8.57","6,316,700"
10/23/2015,"8.63","8.64","8.58","8.59","6,473,200"
10/22/2015,"8.60","8.65","8.57","8.59","7,834,900"
10/21/2015,"8.60","8.65","8.52","8.62","6,355,600"
10/20/2015,"8.57","8.64","8.56","8.61","8,689,500"
10/19/2015,"8.60","8.67","8.56","8.64","8,791,400"
10/16/2015,"8.63","8.64","8.60","8.62","6,999,300"
10/15/2015,"8.52","8.67","8.52","8.61","13,890,200"
10/13/2015,"8.52","8.63","8.51","8.62","15,456,700"
10/12/2015,"8.56","8.57","8.45","8.51","15,099,300"
10/09/2015,"8.52","8.62","8.51","8.60","16,698,100"
10/08/2015,"8.48","8.53","8.43","8.52","14,571,500"
10/07/2015,"8.69","8.73","8.62","8.71","19,914,801"
10/06/2015,"8.63","8.69","8.58","8.69","11,096,700"
10/05/2015,"8.50","8.60","8.46","8.60","9,825,700"
10/02/2015,"8.53","8.55","8.42","8.45","9,882,100"
10/01/2015,"8.51","8.61","8.47","8.55","7,902,200"
09/30/2015,"8.41","8.58","8.35","8.56","15,758,300"
09/29/2015,"8.35","8.40","8.30","8.39","14,092,600"
09/28/2015,"8.41","8.41","8.35","8.40","10,089,200"
09/25/2015,"8.40","8.41","8.34","8.41","12,444,700"
09/23/2015,"8.44","8.44","8.35","8.41","20,221,400"
09/22/2015,"8.46","8.52","8.40","8.52","10,311,700"
09/21/2015,"8.65","8.65","8.40","8.41","19,818,000"
09/18/2015,"8.66","8.71","8.63","8.70","12,540,900"
09/17/2015,"8.65","8.72","8.56","8.64","28,420,100"
09/15/2015,"8.55","8.72","8.55","8.57","18,416,801"
09/14/2015,"8.45","8.55","8.41","8.51","22,631,699"
09/11/2015,"8.48","8.59","8.40","8.41","12,128,700"
09/10/2015,"8.54","8.57","8.46","8.55","16,986,900"
09/09/2015,"8.59","8.65","8.52","8.62","12,794,000"
09/08/2015,"8.39","8.64","8.32","8.58","8,018,200"
09/07/2015,"8.30","8.39","8.22","8.38","12,944,700"
09/04/2015,"8.45","8.48","8.34","8.37","11,131,300"
09/03/2015,"8.48","8.50","8.41","8.47","9,510,800"
09/02/2015,"8.69","8.69","8.35","8.42","33,728,602"
09/01/2015,"9.02","9.15","8.69","8.77","20,009,801"
08/28/2015,"8.69","8.80","8.69","8.76","16,049,300"
08/27/2015,"8.61","8.65","8.52","8.65","14,732,700"
08/26/2015,"8.28","8.52","8.25","8.50","22,549,600"
08/25/2015,"8.27","8.35","8.22","8.31","23,728,000"
08/24/2015,"8.39","8.43","8.28","8.32","19,808,500"
08/21/2015,"8.29","8.62","8.20","8.59","16,314,400"
08/20/2015,"8.44","8.60","8.35","8.60","9,037,900"
08/19/2015,"8.44","8.54","8.35","8.46","8,846,300"
08/18/2015,"8.19","8.47","8.18","8.43","20,205,000"
08/17/2015,"8.29","8.39","8.18","8.19","18,144,000"
08/14/2015,"8.60","8.73","8.27","8.29","30,476,199"
08/13/2015,"8.43","8.62","8.40","8.60","10,839,800"
08/12/2015,"8.48","8.54","8.25","8.41","17,910,600"
08/11/2015,"8.82","8.86","8.44","8.52","24,351,600"
08/10/2015,"8.87","8.95","8.66","8.80","16,138,800"
08/07/2015,"9.07","9.11","8.96","8.96","9,575,500"
08/06/2015,"9.17","9.19","9.07","9.07","6,294,300"
08/05/2015,"9.20","9.21","9.16","9.19","4,309,900"
08/04/2015,"9.18","9.21","9.17","9.17","6,982,100"
08/03/2015,"9.18","9.20","9.12","9.18","6,041,300"
07/31/2015,"9.03","9.21","9.02","9.20","10,754,200"
07/30/2015,"9.03","9.06","8.99","8.99","10,180,300"
07/29/2015,"9.07","9.09","9.02","9.06","7,912,600"
07/28/2015,"9.16","9.16","9.08","9.08","9,996,100"
07/27/2015,"9.20","9.23","9.16","9.16","6,333,100"
07/24/2015,"9.19","9.24","9.18","9.23","2,354,400"
07/23/2015,"9.18","9.23","9.18","9.19","6,227,000"
07/22/2015,"9.20","9.21","9.17","9.20","4,244,900"
07/21/2015,"9.20","9.22","9.18","9.21","8,681,300"
07/20/2015,"9.20","9.25","9.18","9.20","6,581,200"
07/16/2015,"9.20","9.27","9.18","9.20","3,891,800"
07/15/2015,"9.20","9.25","9.16","9.20","13,365,300"
07/14/2015,"9.20","9.25","9.15","9.20","7,540,800"
07/13/2015,"9.16","9.20","9.12","9.19","5,079,900"
07/10/2015,"9.11","9.21","9.11","9.20","4,546,400"
07/09/2015,"9.10","9.16","9.08","9.16","10,039,100"
07/08/2015,"9.13","9.14","9.06","9.12","10,016,700"
07/07/2015,"9.18","9.25","9.14","9.15","7,460,500"
07/06/2015,"9.25","9.25","9.14","9.19","3,450,100"
07/03/2015,"9.28","9.28","9.23","9.28","2,680,900"
07/02/2015,"9.20","9.31","9.19","9.29","12,709,000"
07/01/2015,"9.16","9.30","9.16","9.17","11,680,800"
06/30/2015,"9.15","9.20","9.13","9.14","11,297,200"
06/29/2015,"9.20","9.21","9.11","9.14","5,921,200"
06/26/2015,"9.28","9.29","9.22","9.22","3,773,300"
06/25/2015,"9.28","9.38","9.26","9.32","14,599,700"
06/24/2015,"9.30","9.32","9.25","9.29","7,350,400"
06/23/2015,"9.35","9.37","9.28","9.28","6,164,400"
06/22/2015,"9.30","9.38","9.28","9.34","7,077,300"
06/19/2015,"9.28","9.39","9.26","9.30","24,777,400"
06/18/2015,"9.20","9.29","9.19","9.24","11,797,600"
06/17/2015,"9.15","9.20","9.14","9.20","7,295,800"
06/16/2015,"9.12","9.19","9.12","9.15","5,638,800"
06/15/2015,"9.14","9.20","9.12","9.17","5,173,500"
06/12/2015,"9.19","9.19","9.12","9.14","5,011,200"
06/11/2015,"9.21","9.21","9.11","9.14","7,769,000"
06/10/2015,"9.20","9.21","9.14","9.16","6,768,700"
06/09/2015,"9.23","9.23","9.12","9.22","3,807,100"
06/08/2015,"9.20","9.24","9.17","9.23","4,295,600"
06/05/2015,"9.20","9.21","9.16","9.21","2,855,600"
06/04/2015,"9.11","9.20","9.11","9.19","5,183,100"
06/03/2015,"9.14","9.17","9.08","9.16","8,880,300"
06/02/2015,"9.19","9.20","9.11","9.14","11,770,500"
06/01/2015,"9.00","9.18","8.97","9.11","9,129,300"
05/29/2015,"9.08","9.15","9.03","9.03","12,535,300"
05/28/2015,"9.16","9.18","9.04","9.11","6,146,800"
05/27/2015,"9.10","9.17","9.01","9.14","12,629,200"
05/26/2015,"9.17","9.17","9.06","9.15","8,352,900"
05/25/2015,"9.29","9.29","9.14","9.17","5,112,000"
05/22/2015,"9.25","9.29","9.23","9.26","6,592,400"
05/21/2015,"9.35","9.35","9.22","9.25","12,301,200"
05/20/2015,"9.30","9.42","9.30","9.37","8,154,600"
05/19/2015,"9.33","9.37","9.31","9.34","4,534,300"
05/18/2015,"9.30","9.38","9.30","9.36","6,192,700"
05/15/2015,"9.30","9.32","9.25","9.32","4,463,000"
05/14/2015,"9.30","9.30","9.25","9.28","5,117,100"
05/13/2015,"9.28","9.32","9.24","9.26","9,392,700"
05/12/2015,"9.24","9.32","9.24","9.28","5,792,300"
05/11/2015,"9.25","9.37","9.25","9.32","8,496,500"
05/08/2015,"9.17","9.30","9.17","9.29","11,475,000"
05/07/2015,"9.18","9.27","9.14","9.15","11,830,100"
05/06/2015,"9.21","9.23","9.12","9.21","12,096,100"
05/05/2015,"9.33","9.33","9.19","9.25","9,600,100"
04/30/2015,"9.30","9.34","9.21","9.21","12,107,600"
04/29/2015,"9.35","9.37","9.29","9.30","7,444,600"
04/28/2015,"9.36","9.36","9.30","9.34","7,665,900"
04/27/2015,"9.41","9.44","9.34","9.36","9,726,400"
04/24/2015,"9.30","9.45","9.24","9.42","16,054,600"
04/23/2015,"9.21","9.30","9.16","9.25","6,442,800"
04/22/2015,"9.51","9.52","9.48","9.49","7,658,800"
04/21/2015,"9.50","9.53","9.48","9.50","9,642,900"
04/20/2015,"9.49","9.51","9.45","9.48","9,650,000"
04/17/2015,"9.44","9.51","9.43","9.49","10,167,000"
04/16/2015,"9.35","9.47","9.34","9.45","15,056,200"
04/15/2015,"9.44","9.45","9.34","9.34","12,677,800"
04/14/2015,"9.44","9.49","9.37","9.38","11,549,000"
04/13/2015,"9.38","9.49","9.38","9.45","12,877,100"
04/10/2015,"9.42","9.45","9.35","9.37","10,957,300"
04/09/2015,"9.51","9.54","9.47","9.49","6,511,200"
04/08/2015,"9.55","9.55","9.51","9.55","4,576,800"
04/07/2015,"9.51","9.60","9.51","9.55","11,626,000"
04/06/2015,"9.46","9.54","9.46","9.50","7,863,000"
04/03/2015,"9.40","9.45","9.37","9.45","4,725,400"
04/02/2015,"9.38","9.40","9.34","9.40","14,575,700"
04/01/2015,"9.36","9.38","9.31","9.34","6,872,200"
03/31/2015,"9.30","9.36","9.29","9.33","11,343,500"
03/30/2015,"9.25","9.29","9.22","9.27","5,762,000"
03/27/2015,"9.19","9.22","9.19","9.21","6,864,400"
03/26/2015,"9.19","9.23","9.19","9.22","4,850,900"
03/25/2015,"9.15","9.25","9.15","9.21","12,682,800"
03/24/2015,"9.13","9.18","9.12","9.15","5,466,300"
03/23/2015,"9.13","9.23","9.09","9.12","8,270,400"
03/20/2015,"9.18","9.22","9.13","9.15","9,111,600"
03/19/2015,"9.20","9.29","9.19","9.23","6,828,100"
03/18/2015,"9.14","9.19","9.12","9.16","5,912,800"
03/17/2015,"9.08","9.17","9.08","9.16","7,925,300"
03/16/2015,"9.09","9.13","9.08","9.09","6,713,300"
03/13/2015,"9.14","9.14","9.08","9.10","6,988,900"
03/12/2015,"9.11","9.19","9.08","9.12","8,290,500"
03/11/2015,"9.19","9.20","9.09","9.09","11,795,200"
03/10/2015,"9.16","9.24","9.15","9.23","7,697,400"
03/09/2015,"9.15","9.21","9.10","9.20","5,593,600"
03/06/2015,"9.21","9.23","9.19","9.21","11,872,500"
03/05/2015,"9.32","9.33","9.17","9.21","15,091,500"
03/04/2015,"9.31","9.32","9.24","9.28","11,331,800"
03/03/2015,"9.23","9.35","9.21","9.35","13,213,100"
03/02/2015,"9.20","9.21","9.15","9.20","7,380,400"
02/27/2015,"9.17","9.25","9.13","9.20","13,166,000"
02/26/2015,"9.00","9.18","9.00","9.16","9,220,000"
02/25/2015,"9.06","9.06","9.00","9.02","5,927,800"
02/24/2015,"9.08","9.10","9.03","9.05","8,526,400"
02/23/2015,"9.18","9.18","8.95","9.03","13,735,000"
02/18/2015,"9.20","9.30","9.20","9.22","4,420,000"
02/17/2015,"9.24","9.24","9.16","9.20","2,384,300"
02/16/2015,"9.16","9.20","9.15","9.20","3,741,500"
02/13/2015,"9.10","9.20","9.07","9.19","6,236,600"
02/12/2015,"9.10","9.10","8.97","9.07","10,683,700"
02/11/2015,"9.01","9.12","9.01","9.10","8,630,100"
02/10/2015,"9.01","9.11","8.98","9.10","8,841,200"
02/09/2015,"8.97","9.01","8.90","9.00","6,734,300"
02/06/2015,"8.93","8.97","8.89","8.93","10,163,100"
02/05/2015,"8.81","8.94","8.79","8.92","11,995,100"
02/04/2015,"8.80","9.00","8.77","8.83","14,369,800"
01/30/2015,"8.70","8.80","8.64","8.72","12,167,300"
01/29/2015,"8.67","8.73","8.61","8.66","10,278,400"
01/28/2015,"8.85","8.90","8.60","8.69","18,132,000"
01/27/2015,"8.91","9.00","8.89","8.92","7,460,700"
01/26/2015,"8.98","9.00","8.89","8.92","7,246,500"
01/23/2015,"8.94","9.00","8.90","9.00","13,461,800"
01/22/2015,"8.87","9.00","8.80","8.87","10,176,900"
01/21/2015,"8.92","8.95","8.84","8.87","12,511,300"
01/20/2015,"8.78","8.92","8.71","8.92","10,424,800"
01/19/2015,"8.62","8.80","8.62","8.79","13,468,500"
01/16/2015,"8.53","8.67","8.46","8.60","12,518,100"
01/15/2015,"8.40","8.62","8.40","8.60","17,100,900"
01/14/2015,"8.62","8.62","8.38","8.39","24,945,699"
01/13/2015,"8.58","8.66","8.56","8.62","7,419,000"
01/12/2015,"8.60","8.62","8.47","8.58","10,247,700"
01/09/2015,"8.62","8.63","8.49","8.61","22,071,801"
01/08/2015,"8.64","8.76","8.64","8.70","13,590,000"
01/07/2015,"8.69","8.70","8.58","8.61","25,785,100"
01/06/2015,"8.90","9.00","8.64","8.80","20,485,400"
01/05/2015,"9.14","9.17","8.98","9.00","14,354,500"
01/02/2015,"9.17","9.17","9.05","9.12","10,216,400"
